year,farm code,farm_acreage,species,produced_quantity,crop_acreage,hours_of_machines_ha,nitrogen_ha,phosphorus_ha,potassium_ha,fert_area,Herbicide_Qt Tox-0,Herbicide_Qt Tox-1,Herbicide_Qt Tox-2,Herbicide_Qt Tox-3,Herbicide_Qt Tox-4,Insecticide_Qt Tox-0,Insecticide_Qt Tox-1,Insecticide_Qt Tox-2,Insecticide_Qt Tox-3,Insecticide_Qt Tox-4,Fungicide_Qt Tox-0,Fungicide_Qt Tox-1,Fungicide_Qt Tox-2,Fungicide_Qt Tox-3,Fungicide_Qt Tox-4
2008,2702008010467000001,193.86,durum_wheat,5790.0,99.76,0.0,-888.0,-888.0,-888.0,99.76,511.76879999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.7168,0.0,0.0,0.0,0.0
2008,2702008010468000001,31.29,durum_wheat,383.0,13.5,0.0,-888.0,-888.0,-888.0,13.5,26.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010470000001,17.73,durum_wheat,400.0,10.19,0.0,-888.0,-888.0,-888.0,10.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010475000001,16.68,durum_wheat,360.0,9.84,1.9695121951219512,-888.0,-888.0,-888.0,9.84,66.5184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010478000001,106.0,durum_wheat,2750.0,55.0,3.4965454545454544,-888.0,-888.0,-888.0,55.0,58.300000000000004,0.0,0.0,0.0,0.0,266.2,0.0,0.0,0.0,0.0,7.15,0.0,0.0,0.0,0.0
2008,2702008010484000001,46.0,durum_wheat,349.0,13.0,0.0,-888.0,-888.0,-888.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010486000001,17.8,durum_wheat,472.0,15.0,4.923333333333333,-888.0,-888.0,-888.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010503000001,56.13,durum_wheat,882.0,18.77,0.0,-888.0,-888.0,-888.0,18.77,1.5016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010507000001,106.76,durum_wheat,167.0,10.4,0.0,-888.0,-888.0,-888.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.256,0.0,0.0,0.0,0.0
2008,2702008010512000001,142.0,durum_wheat,3678.0,120.0,1.1538333333333335,-888.0,-888.0,-888.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010515000001,140.0,durum_wheat,4223.0,120.0,0.0,-888.0,-888.0,-888.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.599999999999998,0.0,0.0,0.0,0.0
2008,2702008010516000001,197.49,durum_wheat,3000.0,50.07,0.0,-888.0,-888.0,-888.0,50.07,135.18900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010520000001,93.83,durum_wheat,420.0,12.77,2.1080657791699298,-888.0,-888.0,-888.0,12.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010522000001,52.6,durum_wheat,537.0,20.18,2.000991080277503,-888.0,-888.0,-888.0,20.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010524000001,177.02,durum_wheat,1355.0,43.13,2.002086714583816,-888.0,-888.0,-888.0,43.13,100.0616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010527000001,31.59,durum_wheat,648.0,14.22,0.0,-888.0,-888.0,-888.0,14.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.30160000000001,0.0,0.0,0.0,0.0
2008,2702008010532000001,43.12,durum_wheat,315.0,8.98,1.66369710467706,-888.0,-888.0,-888.0,8.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010535000001,123.0,durum_wheat,1140.0,48.0,0.0,-888.0,-888.0,-888.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010536000001,42.8,durum_wheat,156.0,4.4,13.986363636363635,-888.0,-888.0,-888.0,4.4,4.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
