year,farm code,species,farm_acreage,produced_quantity,PLV,crop_acreage,hours_of_machines_ha,fert_costs,phyto_costs,energy_costs,thirdy_costs,human_costs,machinery_costs,wheat_price,Mineral_fert_area,Mineral_whole_qt_ha,Mineral_unit_cost,Mineral_distribuited_value,Mineral_nitrogen_ha,Mineral_phosphorus_ha,Mineral_potassium_ha,OrganoMineral_fert_area,OrganoMineral_whole_qt_ha,OrganoMineral_unit_cost,OrganoMineral_distribuited_value,OrganoMineral_nitrogen_ha,OrganoMineral_phosphorus_ha,OrganoMineral_potassium_ha,Other_fert_area,Other_whole_qt_ha,Other_unit_cost,Other_distribuited_value,Other_nitrogen_ha,Other_phosphorus_ha,Other_potassium_ha,Micro_Mineral_fert_area,Micro_Mineral_whole_qt_ha,Micro_Mineral_unit_cost,Micro_Mineral_distribuited_value,Micro_Mineral_nitrogen_ha,Micro_Mineral_phosphorus_ha,Micro_Mineral_potassium_ha,Herbicide_Qt Tox-0,Herbicide_Qt Tox-1,Herbicide_Qt Tox-2,Herbicide_Qt Tox-3,Herbicide_Qt Tox-4,Insecticide_Qt Tox-0,Insecticide_Qt Tox-1,Insecticide_Qt Tox-2,Insecticide_Qt Tox-3,Insecticide_Qt Tox-4,Fungicide_Qt Tox-0,Fungicide_Qt Tox-1,Fungicide_Qt Tox-2,Fungicide_Qt Tox-3,Fungicide_Qt Tox-4,crop_yield,PLV_2_Qt,phyto_costs_2_Qt,fert_costs_2_Qt,herbicide_ha,insecticide_ha,fungicide_ha,herbicide_inefficiency,insecticide_inefficiency,fungicide_inefficiency,phyto_inefficiency,N_ha,P_ha,K_ha,ferti_inefficiency,hours_of_machines_inefficiency,cluster
2016.0,2.812008020831e+18,durum_wheat,25.26,391.0,7252.0,9.32,21.46,1048.0,388.0,0.0,0.0,2160.0,2000.0,18.55,9.0,4.0,26.0,349.33,60.86,20.73,48.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.952789699570815,18.54731457800511,0.9923273657289002,2.680306905370844,0.0268240343347639,0.0547210300429184,0.0,0.0006393861892583,0.0013043478260869,0.0,0.0019437340153452,1.4506782608695652,0.4941268542199488,1.1539161125319692,3.0987212276214833,0.5115273657289002,0
2016.0,2.812008020837e+18,durum_wheat,32.78,993.0,17400.0,17.53,20.18,2339.0,1940.0,0.0,2053.0,2800.0,2040.0,17.52,18.0,4.0,28.5,1169.5,117.41,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,56.64575014261266,17.522658610271904,1.9536757301107752,2.3554884189325276,0.0524814603536794,0.0593268682258984,0.0604677695379349,0.0009264853977844,0.0010473313192346,0.001067472306143,0.0030412890231621,2.072706243705942,0.0,0.0328356495468278,2.105541893252769,0.3562491440080564,0
2016.0,2.812008020856e+18,durum_wheat,32.83,453.0,10419.0,8.24,49.01,1200.0,1885.0,0.0,4000.0,1600.0,3000.0,23.0,8.0,5.0,30.0,1200.0,223.3,116.5,58.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9757281553398,23.0,4.161147902869757,2.6490066225165565,0.2572815533980582,0.5813106796116505,0.0,0.0046799116997792,0.0105739514348785,0.0,0.0152538631346578,4.061792494481237,2.119116997792495,1.0595584988962474,7.240467991169979,0.8914843267108168,3
2016.0,2.81200802089e+18,durum_wheat,33.1,958.0,20060.0,15.97,19.13,1308.0,3243.0,0.0,1300.0,2400.0,2500.0,20.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,24.5,376.5,0.0,21.29,31.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.987476518472135,20.93945720250522,3.38517745302714,1.3653444676409183,0.0901690670006261,0.1671884783969943,0.0,0.0015031315240083,0.0027870563674321,0.0,0.0042901878914405,0.0,0.3549074112734864,0.5271100208768268,0.8820174321503131,0.3188998956158663,4
2016.0,2.812008020903e+18,durum_wheat,14.38,205.0,3528.0,5.28,18.31,870.0,0.0,0.0,390.0,800.0,800.0,17.21,5.0,5.0,30.0,870.0,148.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,38.82575757575757,17.209756097560977,0.0,4.2439024390243905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.819629268292683,0.0,0.0,3.819629268292683,0.4715941463414634,0
2016.0,2.812008020912e+18,durum_wheat,9.28,190.0,4521.0,3.87,24.38,525.0,378.0,0.0,570.0,640.0,700.0,23.79,4.0,4.0,32.0,525.0,114.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.09560723514212,23.794736842105262,1.9894736842105265,2.763157894736842,0.6382428940568475,0.330749354005168,0.0,0.013,0.0067368421052631,0.0,0.0197368421052631,2.3313694736842105,0.0,0.0,2.3313694736842105,0.4965821052631579,1
2016.0,2.81200802092e+18,durum_wheat,25.54,157.0,3700.0,3.14,63.69,380.0,280.0,0.0,0.0,1600.0,2400.0,23.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,35.0,380.0,159.05,82.98,48.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,23.56687898089172,1.78343949044586,2.420382165605095,0.945859872611465,0.0,0.0,0.0189171974522293,0.0,0.0,0.0189171974522293,3.181,1.6596000000000002,0.9682,5.8088,1.2738,5
2016.0,2.812008020921e+18,durum_wheat,77.71,1207.0,24140.0,21.96,36.24,0.0,0.0,0.0,5090.0,6400.0,7200.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,54.96357012750455,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6593458160729081,6
2016.0,2.812008022329e+18,durum_wheat,38.35,160.0,3520.0,4.5,10.0,288.0,315.0,0.0,0.0,720.0,720.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,32.0,288.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.55555555555556,22.0,1.96875,1.8,0.4444444444444444,0.0,0.0,0.0124999999999999,0.0,0.0,0.0124999999999999,2.5875,0.0,0.0,2.5875,0.28125,0
2016.0,2.812008022415e+18,durum_wheat,39.96,430.0,7740.0,13.15,10.77,780.0,520.0,0.0,1300.0,1200.0,1600.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,30.0,780.0,90.95,23.73,23.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.69961977186312,18.0,1.2093023255813953,1.813953488372093,0.0752851711026616,0.0,0.0,0.0023023255813953,0.0,0.0,0.0023023255813953,2.7813779069767444,0.7256965116279069,0.7256965116279069,4.232770930232558,0.3293616279069767,0
2016.0,2.812008022417e+18,durum_wheat,63.17,1152.0,20736.0,25.65,16.77,2000.0,1150.0,0.0,2500.0,6400.0,5600.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,40.0,2000.0,89.67,23.39,23.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.91228070175439,18.0,0.9982638888888888,1.7361111111111112,0.0436647173489278,0.0,0.0,0.0009722222222222,0.0,0.0,0.0009722222222222,1.99655859375,0.5207929687499999,0.5207929687499999,3.03814453125,0.3733945312499999,0
2016.0,2.812008022422e+18,durum_wheat,32.09,360.0,5760.0,12.0,10.0,720.0,480.0,0.0,0.0,1440.0,1920.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,30.0,720.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,16.0,1.3333333333333333,2.0,0.0833333333333333,0.0,0.0,0.0027777777777777,0.0,0.0,0.0027777777777777,3.066666666666667,0.0,0.0,3.066666666666667,0.3333333333333333,0
