Farm ID,Year,Specie vegetale,Superficie coltivata,Ore uso macchina per ettaro
2702008010555000001,2009,Frumento duro,55.58,0.0
2702008010556000001,2008,Frumento duro,10.14,0.0
2702008010556000001,2009,Frumento duro,11.86,1.16
2702008010558000001,2008,Frumento duro,32.3,0.0
2702008010560000001,2008,Frumento duro,15.0,0.0
2702008010560000001,2009,Frumento duro,10.0,0.0
2702008010560000001,2010,Frumento duro,8.4,26.19
2702008010560000001,2011,Frumento duro,4.37,25.17
2702008010560000001,2012,Frumento duro,8.15,24.54
2702008010568000001,2008,Frumento duro,155.84,9.65
2702008010568000001,2009,Frumento duro,153.2,1.73
2702008010568000001,2010,Frumento duro,178.72,8.84
2702008010568000001,2011,Frumento duro,101.46,9.0
2702008010569000001,2008,Frumento duro,16.52,2.71
2702008010569000001,2010,Frumento duro,15.0,3.2
2702008010571000001,2008,Frumento duro,17.15,0.0
2702008010573000001,2008,Frumento duro,26.48,3.92
2702008010573000001,2009,Frumento duro,3.49,0.0
2702008010573000001,2010,Frumento duro,37.13,0.0
2702008010573000001,2011,Frumento duro,6.74,32.94
2702008010573000001,2012,Frumento duro,20.72,14.0
2702008010575000001,2008,Frumento duro,22.8,0.0
2702008010575000001,2009,Frumento duro,24.99,0.0
2702008010576000001,2008,Frumento duro,15.97,0.0
2702008010576000001,2009,Frumento duro,5.86,0.0
2702008010576000001,2010,Frumento duro,15.61,0.0
2702008010576000001,2011,Frumento duro,6.14,29.97
2702008010576000001,2012,Frumento duro,15.68,14.03
2702008010576000001,2013,Frumento duro,6.14,13.68
2702008010581000001,2008,Frumento duro,21.0,0.0
2702008010581000001,2009,Frumento duro,20.0,40.0
2702008010582000001,2008,Frumento duro,15.0,3.02
2702008010582000001,2009,Frumento duro,6.0,50.0
2702008010585000001,2008,Frumento duro,4.0,3.38
2702008010585000001,2010,Frumento duro,5.0,21.28
2702008010585000001,2012,Frumento duro,8.0,11.98
2702008010585000001,2014,Frumento duro,6.5,11.98
2702008010585000001,2015,Frumento duro,4.35,11.93
2702008010585000001,2016,Frumento duro,5.0,12.75
2702008010585000001,2017,Frumento duro,3.4,19.75
2702008010593000001,2008,Frumento duro,11.8,7.42
2702008010593000001,2009,Frumento duro,11.8,1.75
2702008010593000001,2010,Frumento duro,8.5,7.47
2702008010593000001,2011,Frumento duro,8.0,10.32
2702008010594000001,2008,Frumento duro,18.25,0.0
2702008010594000001,2009,Frumento duro,18.25,0.0
2702008010594000001,2010,Frumento duro,15.0,7.53
2702008010594000001,2011,Frumento duro,15.0,8.4
2702008010597000001,2008,Frumento duro,6.0,2.46
2702008010597000001,2009,Frumento duro,7.0,1.26
2702008010597000001,2010,Frumento duro,7.5,7.55
2702008010604000001,2008,Frumento duro,40.0,1.66
2702008010604000001,2009,Frumento duro,10.0,1.12
2702008010604000001,2010,Frumento duro,22.0,7.84
2702008010604000001,2011,Frumento duro,20.85,10.26
2702008010607000001,2008,Frumento duro,126.21,0.0
2702008010607000001,2009,Frumento duro,103.54,0.0
2702008010609000001,2009,Frumento duro,0.89,3.24
2702008010610000001,2008,Frumento duro,57.56,0.0
2702008010610000001,2009,Frumento duro,24.84,0.0
2702008010616000001,2008,Frumento duro,10.0,17.02
2702008010616000001,2009,Frumento duro,12.8,17.72
2702008010643000001,2008,Frumento duro,46.19,4.0
2702008010643000001,2009,Frumento duro,0.27,7.93
2702008010648000001,2008,Frumento duro,1.5,3.08
2702008010650000001,2008,Frumento duro,14.2,0.87
2702008010701000001,2008,Frumento duro,6.0,3.38
2702008010701000001,2009,Frumento duro,7.0,1.4
2702008010701000001,2010,Frumento duro,7.0,6.28
2702008010701000001,2011,Frumento duro,4.0,7.2
2702008010701000001,2012,Frumento duro,3.0,8.42
2702008010703000001,2008,Frumento duro,35.0,0.0
2702008010703000001,2009,Frumento duro,30.0,0.0
2702008010703000001,2010,Frumento duro,30.0,7.0
2702008010703000001,2011,Frumento duro,25.0,8.0
2702008010704000001,2008,Frumento duro,6.29,3.69
2702008010704000001,2009,Frumento duro,6.15,1.4
2702008010705000001,2008,Frumento duro,12.0,0.0
2702008010705000001,2009,Frumento duro,7.0,0.0
2702008010705000001,2010,Frumento duro,7.0,7.14
2702008010705000001,2011,Frumento duro,7.0,6.43
2702008010705000001,2012,Frumento duro,6.16,5.68
2702008010706000001,2008,Frumento duro,7.0,3.08
2702008010706000001,2009,Frumento duro,7.0,1.4
2702008010706000001,2010,Frumento duro,7.0,9.28
2702008010706000001,2011,Frumento duro,3.0,8.2
2702008010707000001,2008,Frumento duro,17.0,3.95
2702008010707000001,2011,Frumento duro,6.5,9.89
2702008010707000001,2012,Frumento duro,18.0,10.09
2702008010708000001,2008,Frumento duro,5.0,3.38
2702008010708000001,2009,Frumento duro,8.0,1.4
2702008010708000001,2010,Frumento duro,7.5,7.28
2702008010708000001,2012,Frumento duro,7.5,8.42
2702008010718000001,2008,Frumento duro,14.5,3.56
2702008010768000001,2008,Frumento duro,60.7,0.0
2702008010768000001,2009,Frumento duro,63.74,0.0
2702008010768000001,2010,Frumento duro,126.2,0.0
2702008010768000001,2011,Frumento duro,40.25,18.63
2702008010768000001,2012,Frumento duro,87.4,18.31
2812008000003000001,2008,Frumento duro,3.43,1.4
2812008000004000001,2008,Frumento duro,4.32,5.2
2812008000004000001,2009,Frumento duro,3.0,4.49
2812008000004000001,2010,Frumento duro,3.0,3.61
2812008002417000001,2008,Frumento duro,2.06,122.62
2812008002417000001,2009,Frumento duro,2.0,27.07
2812008006335000001,2008,Frumento duro,5.48,3.05
2812008006335000001,2009,Frumento duro,5.48,14.6
2812008006739000001,2008,Frumento duro,19.55,1.95
2812008006739000001,2009,Frumento duro,18.45,31.69
2812008008101000001,2008,Frumento duro,36.47,2.34
2812008008101000001,2009,Frumento duro,37.73,26.35
2812008008102000001,2008,Frumento duro,11.79,1.57
2812008008102000001,2009,Frumento duro,11.79,16.96
2812008008106000001,2008,Frumento duro,58.41,25.16
2812008008106000001,2009,Frumento duro,62.0,14.45
2812008008106000001,2010,Frumento duro,46.0,16.7
2812008008106000001,2011,Frumento duro,44.0,20.03
2812008008106000001,2012,Frumento duro,45.0,19.54
2812008008106000001,2013,Frumento duro,41.5,15.45
2812008008106000001,2014,Frumento duro,40.0,17.49
2812008008106000001,2015,Frumento duro,42.61,20.58
2812008008106000001,2016,Frumento duro,33.44,20.48
2812008008107000001,2008,Frumento duro,4.16,27.4
2812008008107000001,2009,Frumento duro,4.27,27.21
2812008008108000001,2008,Frumento duro,27.54,24.69
2812008008108000001,2009,Frumento duro,18.11,22.09
2812008008108000001,2010,Frumento duro,7.3,27.4
2812008008201000001,2008,Frumento duro,103.59,inf
2812008008201000001,2009,Frumento duro,179.0,2.51
2812008008202000001,2008,Frumento duro,3.94,7.2
2812008008203000001,2008,Frumento duro,12.15,1.7
2812008008203000001,2009,Frumento duro,15.0,9.69
2812008008206000001,2009,Frumento duro,4.41,0.0
2812008008207000001,2008,Frumento duro,21.45,inf
2812008008207000001,2009,Frumento duro,32.66,3.73
2812008008405000001,2008,Frumento duro,105.17,0.85
2812008008408000001,2008,Frumento duro,19.72,1.36
2812008009101000001,2008,Frumento duro,22.75,inf
2812008009101000001,2009,Frumento duro,27.55,0.53
2812008009101000001,2010,Frumento duro,18.46,0.0
2812008009101000001,2011,Frumento duro,22.27,17.96
2812008009101000001,2012,Frumento duro,12.99,42.34
2812008009102000001,2008,Frumento duro,4.33,0.0
2812008009103000001,2008,Frumento duro,21.68,0.0
2812008009103000001,2009,Frumento duro,17.76,0.0
2812008009103000001,2010,Frumento duro,15.28,0.0
2812008009103000001,2011,Frumento duro,17.07,16.05
2812008009103000001,2012,Frumento duro,22.23,31.49
2812008009103000001,2013,Frumento duro,16.89,10.21
2812008009103000001,2014,Frumento duro,22.26,9.02
2812008009103000001,2015,Frumento duro,19.79,8.34
2812008009103000001,2016,Frumento duro,19.99,12.46
2812008009103000001,2017,Frumento duro,19.33,10.35
2812008009103000001,2018,Frumento duro,19.83,11.35
2812008009103000001,2019,Frumento duro,14.2,11.62
2812008009103000001,2020,Frumento duro,18.12,12.42
2812008009103000001,2021,Frumento duro,19.0,12.63
2812008009103000001,2022,Frumento duro,19.43,24.19
2812008009104000001,2008,Frumento duro,48.46,0.11
2812008009104000001,2009,Frumento duro,47.74,0.0
2812008009108000001,2008,Frumento duro,26.45,0.0
